timestamp,login_id,action,student_id,details
2025-10-02 11:29:14.956814,STAFFCSE002,add,CSE0021005,"New student: Name=Ramesh, Dept=CSE002, CGPA=6.0, Phone=9283709876"
2025-10-02 11:29:37.771455,STAFFCSE002,add,CSE0021006,"New student: Name=Meena, Dept=CSE002, CGPA=7.0, Phone=9283734568"
2025-10-02 11:29:59.491547,STAFFCSE002,add,CSE0021007,"New student: Name=Dilip, Dept=CSE002, CGPA=7.6, Phone=9283723478"
2025-10-02 11:30:12.188428,STAFFCSE002,add,CSE0021008,"New student: Name=Anitha, Dept=CSE002, CGPA=9.3, Phone=9283723478"
2025-10-02 11:30:57.841797,STAFFCSE002,add,CSE0021009,"New student: Name=Jayanth, Dept=CSE002, CGPA=6.0, Phone=9283782376"
2025-10-02 11:31:14.849461,STAFFCSE002,add,CSE0021010,"New student: Name=Parvathi, Dept=CSE002, CGPA=7.0, Phone=9283793827"
2025-10-02 11:33:17.320357,STAFFBME003,add,BME0031001,"New student: Name=Sathish, Dept=BME003, CGPA=7.6, Phone=9876541023"
2025-10-02 11:33:39.846017,STAFFBME003,add,BME0031002,"New student: Name=Kumar, Dept=BME003, CGPA=9.0, Phone=9993727345"
2025-10-02 11:33:59.691563,STAFFBME003,add,BME0031003,"New student: Name=Renuka, Dept=BME003, CGPA=5.6, Phone=7895643212"
2025-10-02 11:34:21.035941,STAFFBME003,add,BME0031004,"New student: Name=Devi, Dept=BME003, CGPA=7.8, Phone=7895667890"
2025-10-02 11:34:44.176332,STAFFBME003,add,BME0031005,"New student: Name=Manoj, Dept=BME003, CGPA=8.5, Phone=1234567890"
2025-10-02 11:35:07.533195,STAFFBME003,add,BME0031006,"New student: Name=Anitha, Dept=BME003, CGPA=7.8, Phone=9837462733"
2025-10-02 11:35:30.387993,STAFFBME003,add,BME0031007,"New student: Name=Muthuvel, Dept=BME003, CGPA=6.8, Phone=9837409876"
2025-10-02 11:35:56.059245,STAFFBME003,add,BME0031008,"New student: Name=Saravanan, Dept=BME003, CGPA=9.8, Phone=4568789234"
2025-10-02 11:36:19.570003,STAFFBME003,add,BME0031009,"New student: Name=Gayathri, Dept=BME003, CGPA=9.1, Phone=7899877856"
2025-10-02 11:36:36.457200,STAFFBME003,add,BME0031010,"New student: Name=Raj, Dept=BME003, CGPA=9.1, Phone=9879875634"
2025-10-02 11:38:54.611801,STAFFIT004,add,IT0041001,"New student: Name=Kalidas, Dept=IT004, CGPA=7.6, Phone=9876012390"
2025-10-02 11:39:25.545301,STAFFIT004,add,IT0041002,"New student: Name=Shanthi, Dept=IT004, CGPA=8.0, Phone=9876543212"
2025-10-02 11:39:59.204655,STAFFIT004,add,IT0041003,"New student: Name=Dinesh, Dept=IT004, CGPA=9.0, Phone=9876975678"
2025-10-02 11:40:20.411389,STAFFIT004,add,IT0041004,"New student: Name=Priya, Dept=IT004, CGPA=7.6, Phone=9876973423"
2025-10-02 11:40:41.811873,STAFFIT004,add,IT0041005,"New student: Name=Raja, Dept=IT004, CGPA=4.0, Phone=9876912345"
2025-10-02 11:40:56.767489,STAFFIT004,add,IT0041006,"New student: Name=Vidhya, Dept=IT004, CGPA=7.9, Phone=9876912365"
2025-10-02 11:41:21.621679,STAFFIT004,add,IT0041007,"New student: Name=Murugan, Dept=IT004, CGPA=6.0, Phone=9876909876"
2025-10-02 11:41:48.778879,STAFFIT004,add,IT0041008,"New student: Name=Archana, Dept=IT004, CGPA=6.8, Phone=9876912345"
2025-10-02 11:42:09.187348,STAFFIT004,add,IT0041009,"New student: Name=Yuvaraj, Dept=IT004, CGPA=6.9, Phone=9876912389"
2025-10-02 11:42:51.019822,STAFFIT004,add,IT0041010,"New student: Name=Harini, Dept=IT004, CGPA=8.7, Phone=9876912329"
2025-10-02 11:45:24.785033,STAFFMECH005,add,MECH0051001,"New student: Name=Bala Chandran, Dept=MECH005, CGPA=6.0, Phone=9876543102"
2025-10-02 11:45:49.664838,STAFFMECH005,add,MECH0051002,"New student: Name=Bala Malathi S, Dept=MECH005, CGPA=7.0, Phone=9876543215"
2025-10-02 11:46:20.940938,STAFFMECH005,add,MECH0051003,"New student: Name=Kannan R, Dept=MECH005, CGPA=8.0, Phone=6432765543"
2025-10-02 11:46:40.355444,STAFFMECH005,add,MECH0051004,"New student: Name=Chitra P, Dept=MECH005, CGPA=6.7, Phone=6432545632"
2025-10-02 11:47:16.131676,STAFFMECH005,add,MECH0051005,"New student: Name=Harinath V, Dept=MECH005, CGPA=6.9, Phone=6432512345"
2025-10-02 11:47:47.419530,STAFFMECH005,add,MECH0051006,"New student: Name=Roja M, Dept=MECH005, CGPA=8.7, Phone=6432554321"
2025-10-02 11:48:03.131036,STAFFMECH005,add,MECH0051007,"New student: Name=Rajesh, Dept=MECH005, CGPA=7.9, Phone=6432512345"
2025-10-02 11:48:27.852733,STAFFMECH005,add,MECH0051008,"New student: Name=Subiksha, Dept=MECH005, CGPA=6.5, Phone=6432509876"
2025-10-02 11:48:48.704898,STAFFMECH005,add,MECH0051009,"New student: Name=Vignesh, Dept=MECH005, CGPA=9.0, Phone=6432509878"
2025-10-02 11:49:05.117873,STAFFMECH005,add,MECH0051010,"New student: Name=Abinaya, Dept=MECH005, CGPA=9.0, Phone=6432567890"
